#{"t_start": 1770463446.4266129, "env_id": "None"}
r,l,t
-641.8,128,1.674969
-293.7,128,1.844908
-107.5,128,2.006327
-1366.9,128,2.167995
-138.9,128,2.342535
-326.6,128,2.50265
-132.5,128,2.660383
-917.7,128,2.819881
-313.0,128,2.985732
-794.9,128,3.143542
8.3,128,3.303975
-1268.6,128,3.461373
-131.8,128,3.626649
-315.7,128,3.787767
-155.0,128,3.947402
48.7,128,4.11079
-68.4,128,4.278053
-271.1,128,4.436166
-56.1,128,4.59864
-17.4,128,4.760208
-92.7,128,4.927182
-214.1,128,5.088978
-310.0,128,5.248589
-192.2,128,5.412556
-61.1,128,5.586809
-126.6,128,5.756387
-48.7,128,5.917682
-60.2,128,6.084412
-144.8,128,6.255723
-267.0,128,6.414853
-475.1,128,6.573321
-895.4,128,6.735633
-84.4,128,6.907064
-165.8,128,7.067323
-180.3,128,7.230523
-173.4,128,7.397311
87.7,128,7.570012
-38.4,128,7.735342
-7.5,128,7.900892
-139.6,128,8.066381
-28.1,128,8.236673
77.8,128,8.404821
-65.5,128,8.570747
-2.6,128,8.734175
86.6,128,8.91293
-9.5,128,9.076202
-125.7,128,9.244116
70.4,128,9.416694
-44.6,128,9.58944
65.3,128,9.758313
1.3,128,9.927991
-4.7,128,10.097636
6.4,128,10.275571
-21.8,128,10.439485
46.9,128,10.607749
-46.1,128,10.780437
-48.1,128,10.952906
38.9,128,11.119035
9.5,128,11.28397
-54.4,128,11.449854
-122.4,128,11.628833
43.8,128,11.802497
-40.6,128,11.973625
142.3,128,12.144096
3.1,128,12.314763
-33.5,128,12.491301
54.2,128,12.656627
-20.2,128,12.832199
-100.6,128,13.005525
-2.7,128,13.178704
35.5,128,13.353454
50.0,128,13.532753
64.1,128,13.708793
43.7,128,13.879298
38.7,128,14.046632
14.2,128,14.216725
76.3,128,14.391453
64.0,128,14.562419
94.4,128,14.73603
-62.6,128,14.904356
95.1,128,15.07682
71.7,128,15.25017
-5.7,128,15.429865
28.5,128,15.586898
-38.1,128,15.769985
75.4,128,15.941504
17.6,128,16.117621
14.3,128,16.297506
-25.7,128,16.477354
60.3,128,16.655626
-10.0,128,16.830398
-5.2,128,17.004556
51.8,128,17.178991
120.9,128,17.353974
24.8,128,17.528394
119.1,128,17.702669
35.5,128,17.88888
-60.2,128,18.056593
82.5,128,18.235202
76.6,128,18.412622
7.9,128,18.591398
68.7,128,18.76998
29.8,128,18.944986
66.5,128,19.123888
19.8,128,19.304968
20.4,128,19.489173
12.5,128,19.662668
39.9,128,19.833072
2.8,128,20.011145
59.4,128,20.191262
-40.6,128,20.365073
84.9,128,20.545258
40.3,128,20.727275
49.1,128,20.913324
11.7,128,21.095559
62.8,128,21.268035
-37.3,128,21.458814
51.7,128,21.638808
-78.7,128,21.824628
29.8,128,22.00218
90.2,128,22.188962
79.7,128,22.356049
37.7,128,22.515649
39.3,128,22.679902
13.8,128,22.882313
2.8,128,23.060642
